,open,high,low,close,volume,symbol,OBV,BBU,BBM,BBL,Buy,Sell
2024-07-12 09:15:00+05:30,1604.85,1604.85,1590.0,1592.2,44101,NSE:BAJAJFINSV-EQ,-459902.0,-467937.47,-502420.55,-535545.9,0,0
2024-07-12 09:15:00+05:30,6996.95,6998.65,6960.4,6968.0,31972,NSE:BAJFINANCE-EQ,-113116.0,-136843.11,-178859.05,-224501.71,0,0
2024-07-12 09:15:00+05:30,1442.0,1442.0,1435.25,1436.5,76540,NSE:BHARTIARTL-EQ,-349050.0,359603.82,12905.8,-315589.46,0,0
2024-07-12 09:15:00+05:30,309.7,309.7,307.5,308.8,880224,NSE:BPCL-EQ,3768279.0,3188880.08,1809792.95,432594.47,0,0
2024-07-12 09:15:00+05:30,1506.05,1512.6,1503.35,1508.0,25986,NSE:CIPLA-EQ,356318.0,354354.2,194308.3,12966.44,0,0
2024-07-12 09:15:00+05:30,504.0,505.45,502.1,503.95,467098,NSE:COALINDIA-EQ,5848956.0,5761475.35,4866700.9,4024789.83,0,0
2024-07-12 09:15:00+05:30,4590.0,4594.6,4525.35,4531.35,20278,NSE:DIVISLAB-EQ,-235648.0,-34505.14,-137600.05,-234177.41,0,0
2024-07-12 09:15:00+05:30,4828.55,4849.45,4817.35,4831.85,8609,NSE:EICHERMOT-EQ,128387.0,128208.0,106886.7,83104.46,0,0
2024-07-12 09:15:00+05:30,634.0,634.75,631.3,631.5,95238,NSE:HDFCLIFE-EQ,1371523.0,1816424.05,1626934.4,1436362.14,0,0
2024-07-12 09:15:00+05:30,1680.0,1681.0,1666.65,1669.65,872488,NSE:INFY-EQ,-407212.0,-443340.82,-881368.25,-1316036.36,0,0
2024-07-12 09:15:00+05:30,168.49,168.5,167.35,168.3,4904374,NSE:IOC-EQ,13165882.0,22389996.23,19244793.0,15926731.22,0,0
2024-07-12 09:15:00+05:30,12620.0,12669.9,12475.0,12575.0,66301,NSE:MARUTI-EQ,333916.0,445815.48,398321.7,357570.97,0,0
2024-07-12 09:15:00+05:30,378.95,378.95,374.0,374.6,932103,NSE:NTPC-EQ,-2529171.0,-585267.94,-1567886.4,-2497807.61,0,0
2024-07-12 09:15:00+05:30,170.2,170.39,169.59,169.65,831716,NSE:TATASTEEL-EQ,-10199510.0,-11027940.76,-12611129.9,-14211948.51,0,0
2024-07-12 09:15:00+05:30,560.45,562.0,558.25,558.7,51559,NSE:UPL-EQ,618910.0,614088.13,525772.8,419873.51,0,0
2024-07-12 09:15:00+05:30,545.0,547.0,542.15,543.2,1470995,NSE:WIPRO-EQ,1993198.0,1014845.19,141525.8,-773174.28,0,0
,open,high,low,close,volume,symbol,OBV,BBU,BBM,BBL,Buy,Sell
2024-07-12 09:20:00+05:30,9508.85,9523.65,9504.3,9515.0,3530,NSE:BAJAJ-AUTO-EQ,194516.0,188251.39,130732.65,68662.7,0,0
2024-07-12 09:20:00+05:30,308.9,310.95,308.3,310.05,863162,NSE:BPCL-EQ,4631441.0,3744166.95,1967141.1,120419.68,0,0
2024-07-12 09:20:00+05:30,631.75,632.8,630.8,630.8,39964,NSE:HDFCLIFE-EQ,1331559.0,1837900.01,1612168.0,1386179.36,0,0
