TIME,ce1_stk,ce1_ltp,ce1_iv,ce1_oi,ce1_ttv,ce1_choi,ce2_stk,ce2_ltp,ce2_iv,ce2_oi,ce2_ttv,ce2_choi,ce3_stk,ce3_ltp,ce3_iv,ce3_oi,ce3_ttv,ce3_choi,ce4_stk,ce4_ltp,ce4_iv,ce4_oi,ce4_ttv,ce4_choi,ce5_stk,ce5_ltp,ce5_iv,ce5_oi,ce5_ttv,ce5_choi,ce6_stk,ce6_ltp,ce6_iv,ce6_oi,ce6_ttv,ce6_choi,ce7_stk,ce7_ltp,ce7_iv,ce7_oi,ce7_ttv,ce7_choi,pe1_stk,pe1_ltp,pe1_iv,pe1_oi,pe1_ttv,pe1_choi,pe2_stk,pe2_ltp,pe2_iv,pe2_oi,pe2_ttv,pe2_choi,pe3_stk,pe3_ltp,pe3_iv,pe3_oi,pe3_ttv,pe3_choi,pe4_stk,pe4_ltp,pe4_iv,pe4_oi,pe4_ttv,pe4_choi,pe5_stk,pe5_ltp,pe5_iv,pe5_oi,pe5_ttv,pe5_choi,pe6_stk,pe6_ltp,pe6_iv,pe6_oi,pe6_ttv,pe6_choi,pe7_stk,pe7_ltp,pe7_iv,pe7_oi,pe7_ttv,pe7_choi
21:52:15,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
21:53:18,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
21:54:19,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
21:55:21,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
21:56:22,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
21:57:24,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
21:58:25,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
21:59:27,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:00:29,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:01:31,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:02:32,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:03:34,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:04:36,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:05:38,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:06:40,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:07:42,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:08:44,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:09:47,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:10:48,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:11:49,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:12:51,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:13:52,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:14:54,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:15:55,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:16:57,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:17:58,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:19:00,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:20:01,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:21:03,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:22:07,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:23:08,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
22:24:11,17500,116.0,14.46,53240,2005312,-4634,17550,85.75,14.36,29742,762567,4778,17600,60.95,14.31,69118,1511598,-12858,17650,40.85,14.13,32331,578732,-3563,17350,236.35,15.95,2461,242035,-1513,17400,192.9,15.37,27812,1300672,-6272,17450,151.05,14.54,11939,840084,-4614,17500,46.85,14.96,59138,1020738,18454,17550,64.05,14.35,15861,205088,7501,17600,90.7,14.58,22320,271990,-2269,17650,121.3,14.58,3524,26580,-491,17350,17.5,16.84,26303,826857,12147,17400,24.05,16.11,73680,1833567,17785,17450,32.25,15.19,23714,703639,8906
